,+,=,-,*,/,%,(,),id,const_number,const_string,int,float,bool,char,",",$,S,declaration,type,var_list,assignment,ass_right,ass_a,ass_b
0,,,,,,,,,shift 5,,,shift 6,shift 7,shift 8,shift 9,,,1,2,3,,4,,,
1,,,,,,,,,,,,,,,,,accept,,,,,,,,
2,,,,,,,,,,,,,,,,,reduce 2,,,,,,,,
3,,,,,,,,,shift 11,,,,,,,,,,,,10,,,,
4,,,,,,,,,,,,,,,,,reduce 3,,,,,,,,
5,,shift 12,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,reduce 5,,,,,,,,,,,,,,,,
7,,,,,,,,,reduce 6,,,,,,,,,,,,,,,,
8,,,,,,,,,reduce 7,,,,,,,,,,,,,,,,
9,,,,,,,,,reduce 8,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,reduce 4,,,,,,,,
11,,,,,,,,,,,,,,,,shift 13,reduce 10,,,,,,,,
12,,,,,,,shift 17,,shift 18,shift 19,shift 20,,,,,,,,,,,,14,15,16
13,,,,,,,,,shift 11,,,,,,,,,,,,21,,,,
14,shift 22,,shift 23,,,,,,,,,,,,,,reduce 11,,,,,,,,
15,reduce 14,,reduce 14,shift 24,shift 25,shift 26,,,,,,,,,,,reduce 14,,,,,,,,
16,reduce 18,,reduce 18,reduce 18,reduce 18,reduce 18,,,,,,,,,,,reduce 18,,,,,,,,
17,,,,,,,shift 30,,shift 31,shift 32,shift 33,,,,,,,,,,,,27,28,29
18,reduce 20,,reduce 20,reduce 20,reduce 20,reduce 20,,,,,,,,,,,reduce 20,,,,,,,,
19,reduce 21,,reduce 21,reduce 21,reduce 21,reduce 21,,,,,,,,,,,reduce 21,,,,,,,,
20,reduce 22,,reduce 22,reduce 22,reduce 22,reduce 22,,,,,,,,,,,reduce 22,,,,,,,,
21,,,,,,,,,,,,,,,,,reduce 9,,,,,,,,
22,,,,,,,shift 17,,shift 18,shift 19,shift 20,,,,,,,,,,,,,34,16
23,,,,,,,shift 17,,shift 18,shift 19,shift 20,,,,,,,,,,,,,35,16
24,,,,,,,shift 17,,shift 18,shift 19,shift 20,,,,,,,,,,,,,,36
25,,,,,,,shift 17,,shift 18,shift 19,shift 20,,,,,,,,,,,,,,37
26,,,,,,,shift 17,,shift 18,shift 19,shift 20,,,,,,,,,,,,,,38
27,shift 39,,shift 40,,,,,shift 41,,,,,,,,,,,,,,,,,
28,reduce 14,,reduce 14,shift 42,shift 43,shift 44,,reduce 14,,,,,,,,,,,,,,,,,
29,reduce 18,,reduce 18,reduce 18,reduce 18,reduce 18,,reduce 18,,,,,,,,,,,,,,,,,
30,,,,,,,shift 30,,shift 31,shift 32,shift 33,,,,,,,,,,,,45,28,29
31,reduce 20,,reduce 20,reduce 20,reduce 20,reduce 20,,reduce 20,,,,,,,,,,,,,,,,,
32,reduce 21,,reduce 21,reduce 21,reduce 21,reduce 21,,reduce 21,,,,,,,,,,,,,,,,,
33,reduce 22,,reduce 22,reduce 22,reduce 22,reduce 22,,reduce 22,,,,,,,,,,,,,,,,,
34,reduce 12,,reduce 12,shift 24,shift 25,shift 26,,,,,,,,,,,reduce 12,,,,,,,,
35,reduce 13,,reduce 13,shift 24,shift 25,shift 26,,,,,,,,,,,reduce 13,,,,,,,,
36,reduce 15,,reduce 15,reduce 15,reduce 15,reduce 15,,,,,,,,,,,reduce 15,,,,,,,,
37,reduce 16,,reduce 16,reduce 16,reduce 16,reduce 16,,,,,,,,,,,reduce 16,,,,,,,,
38,reduce 17,,reduce 17,reduce 17,reduce 17,reduce 17,,,,,,,,,,,reduce 17,,,,,,,,
39,,,,,,,shift 30,,shift 31,shift 32,shift 33,,,,,,,,,,,,,46,29
40,,,,,,,shift 30,,shift 31,shift 32,shift 33,,,,,,,,,,,,,47,29
41,reduce 19,,reduce 19,reduce 19,reduce 19,reduce 19,,,,,,,,,,,reduce 19,,,,,,,,
42,,,,,,,shift 30,,shift 31,shift 32,shift 33,,,,,,,,,,,,,,48
43,,,,,,,shift 30,,shift 31,shift 32,shift 33,,,,,,,,,,,,,,49
44,,,,,,,shift 30,,shift 31,shift 32,shift 33,,,,,,,,,,,,,,50
45,shift 39,,shift 40,,,,,shift 51,,,,,,,,,,,,,,,,,
46,reduce 12,,reduce 12,shift 42,shift 43,shift 44,,reduce 12,,,,,,,,,,,,,,,,,
47,reduce 13,,reduce 13,shift 42,shift 43,shift 44,,reduce 13,,,,,,,,,,,,,,,,,
48,reduce 15,,reduce 15,reduce 15,reduce 15,reduce 15,,reduce 15,,,,,,,,,,,,,,,,,
49,reduce 16,,reduce 16,reduce 16,reduce 16,reduce 16,,reduce 16,,,,,,,,,,,,,,,,,
50,reduce 17,,reduce 17,reduce 17,reduce 17,reduce 17,,reduce 17,,,,,,,,,,,,,,,,,
51,reduce 19,,reduce 19,reduce 19,reduce 19,reduce 19,,reduce 19,,,,,,,,,,,,,,,,,
