״̬,ACTION,,,,,,,,,,,,GOTO,,,,
,+,=,-,*,/,%,(,),ID,INT_NUM,int,$,S,A,B,C,S'
0,,,,,,,,,shift 2,,shift 3,,,,,,1
1,,,,,,,,,,,,accept,,,,,
2,,shift 4,,,,,,,,,,,,,,,
3,,,,,,,,,shift 5,,,,,,,,
4,,,,,,,shift 9,,shift 10,shift 11,,,6,7,8,,
5,,,,,,,,,,,,reduce S' -> int ID,,,,,
6,shift 12,,shift 13,,,,,,,,,reduce S' -> ID = S,,,,,
7,reduce S -> A,,reduce S -> A,shift 14,shift 15,shift 16,,,,,,reduce S -> A,,,,,
8,reduce A -> B,,reduce A -> B,reduce A -> B,reduce A -> B,reduce A -> B,,,,,,reduce A -> B,,,,,
9,,,,,,,shift 20,,shift 21,shift 22,,,17,18,19,,
10,reduce B -> ID,,reduce B -> ID,reduce B -> ID,reduce B -> ID,reduce B -> ID,,,,,,reduce B -> ID,,,,,
11,reduce B -> INT_NUM,,reduce B -> INT_NUM,reduce B -> INT_NUM,reduce B -> INT_NUM,reduce B -> INT_NUM,,,,,,reduce B -> INT_NUM,,,,,
12,,,,,,,shift 9,,shift 10,shift 11,,,,23,8,,
13,,,,,,,shift 9,,shift 10,shift 11,,,,24,8,,
14,,,,,,,shift 9,,shift 10,shift 11,,,,,25,,
15,,,,,,,shift 9,,shift 10,shift 11,,,,,26,,
16,,,,,,,shift 9,,shift 10,shift 11,,,,,27,,
17,shift 28,,shift 29,,,,,shift 30,,,,,,,,,
18,reduce S -> A,,reduce S -> A,shift 31,shift 32,shift 33,,reduce S -> A,,,,,,,,,
19,reduce A -> B,,reduce A -> B,reduce A -> B,reduce A -> B,reduce A -> B,,reduce A -> B,,,,,,,,,
20,,,,,,,shift 20,,shift 21,shift 22,,,34,18,19,,
21,reduce B -> ID,,reduce B -> ID,reduce B -> ID,reduce B -> ID,reduce B -> ID,,reduce B -> ID,,,,,,,,,
22,reduce B -> INT_NUM,,reduce B -> INT_NUM,reduce B -> INT_NUM,reduce B -> INT_NUM,reduce B -> INT_NUM,,reduce B -> INT_NUM,,,,,,,,,
23,reduce S -> S + A,,reduce S -> S + A,shift 14,shift 15,shift 16,,,,,,reduce S -> S + A,,,,,
24,reduce S -> S - A,,reduce S -> S - A,shift 14,shift 15,shift 16,,,,,,reduce S -> S - A,,,,,
25,reduce A -> A * B,,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,,,,,,reduce A -> A * B,,,,,
26,reduce A -> A / B,,reduce A -> A / B,reduce A -> A / B,reduce A -> A / B,reduce A -> A / B,,,,,,reduce A -> A / B,,,,,
27,reduce A -> A % B,,reduce A -> A % B,reduce A -> A % B,reduce A -> A % B,reduce A -> A % B,,,,,,reduce A -> A % B,,,,,
28,,,,,,,shift 20,,shift 21,shift 22,,,,35,19,,
29,,,,,,,shift 20,,shift 21,shift 22,,,,36,19,,
30,reduce B -> ( S ),,reduce B -> ( S ),reduce B -> ( S ),reduce B -> ( S ),reduce B -> ( S ),,,,,,reduce B -> ( S ),,,,,
31,,,,,,,shift 20,,shift 21,shift 22,,,,,37,,
32,,,,,,,shift 20,,shift 21,shift 22,,,,,38,,
33,,,,,,,shift 20,,shift 21,shift 22,,,,,39,,
34,shift 28,,shift 29,,,,,shift 40,,,,,,,,,
35,reduce S -> S + A,,reduce S -> S + A,shift 31,shift 32,shift 33,,reduce S -> S + A,,,,,,,,,
36,reduce S -> S - A,,reduce S -> S - A,shift 31,shift 32,shift 33,,reduce S -> S - A,,,,,,,,,
37,reduce A -> A * B,,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,,reduce A -> A * B,,,,,,,,,
38,reduce A -> A / B,,reduce A -> A / B,reduce A -> A / B,reduce A -> A / B,reduce A -> A / B,,reduce A -> A / B,,,,,,,,,
39,reduce A -> A % B,,reduce A -> A % B,reduce A -> A % B,reduce A -> A % B,reduce A -> A % B,,reduce A -> A % B,,,,,,,,,
40,reduce B -> ( S ),,reduce B -> ( S ),reduce B -> ( S ),reduce B -> ( S ),reduce B -> ( S ),,reduce B -> ( S ),,,,,,,,,
